"date","home_team","away_team","team","scorer","minute","own_goal","penalty"
"1990-05-30","Iceland","Albania","Iceland","Arnór Guðjohnsen",41,false,false
"1990-05-30","Iceland","Albania","Iceland","Atli Eðvaldsson",82,false,false
"1990-06-09","Italy","Austria","Italy","Salvatore Schillaci",78,false,false
"1990-06-11","England","Republic of Ireland","England","Gary Lineker",9,false,false
"1990-06-11","England","Republic of Ireland","Republic of Ireland","Kevin Sheedy",73,false,false
"1990-06-16","Sweden","Scotland","Scotland","Stuart McCall",11,false,false
"1990-06-16","Sweden","Scotland","Scotland","Mo Johnston",81,false,true
"1990-06-16","Sweden","Scotland","Sweden","Glenn Strömberg",86,false,false
"1990-06-21","Belgium","Spain","Spain","Míchel",26,false,true
"1990-06-21","Belgium","Spain","Belgium","Patrick Vervoort",29,false,false
"1990-06-21","Belgium","Spain","Spain","Alberto Górriz",38,false,false
"1990-06-21","Republic of Ireland","Netherlands","Netherlands","Ruud Gullit",11,false,false
"1990-06-21","Republic of Ireland","Netherlands","Republic of Ireland","Niall Quinn",71,false,false
"1990-06-26","England","Belgium","England","David Platt",119,false,false
"1990-06-30","Italy","Republic of Ireland","Italy","Salvatore Schillaci",38,false,false
"1990-07-07","Italy","England","Italy","Roberto Baggio",71,false,false
"1990-07-07","Italy","England","England","David Platt",81,false,false
"1990-07-07","Italy","England","Italy","Salvatore Schillaci",86,false,true
"1990-09-05","Iceland","France","France","Jean-Pierre Papin",12,false,false
"1990-09-05","Iceland","France","France","Eric Cantona",74,false,false
"1990-09-05","Iceland","France","Iceland","Atli Eðvaldsson",85,false,false
"1990-09-12","Faroe Islands","Austria","Faroe Islands","Torkil Nielsen",61,false,false
"1990-09-12","Scotland","Romania","Romania","Rodion Cămătaru",13,false,false
"1990-09-12","Scotland","Romania","Scotland","John Robertson",37,false,false
"1990-09-12","Scotland","Romania","Scotland","Ally McCoist",76,false,false
"1990-09-12","Switzerland","Bulgaria","Switzerland","Marc Hottiger",19,false,false
"1990-09-12","Switzerland","Bulgaria","Switzerland","Thomas Bickel",63,false,false
"1990-10-10","Denmark","Faroe Islands","Denmark","Michael Laudrup",8,false,false
"1990-10-10","Denmark","Faroe Islands","Faroe Islands","Allan Mørkøre",21,false,false
"1990-10-10","Denmark","Faroe Islands","Denmark","Lars Elstrup",37,false,false
"1990-10-10","Denmark","Faroe Islands","Denmark","Michael Laudrup",48,false,false
"1990-10-10","Denmark","Faroe Islands","Denmark","Flemming Povlsen",89,false,false
"1990-10-10","Spain","Iceland","Spain","Emilio Butragueño",44,false,false
"1990-10-10","Spain","Iceland","Spain","Carlos Muñoz Cobo",63,false,false
"1990-10-10","Spain","Iceland","Iceland","Sigurður Jónsson",66,false,false
"1990-10-17","England","Poland","England","Gary Lineker",39,false,true
"1990-10-17","England","Poland","England","Peter Beardsley",89,false,false
"1990-10-17","Hungary","Italy","Hungary","László Disztl",16,false,false
"1990-10-17","Hungary","Italy","Italy","Roberto Baggio",54,false,true
"1990-10-17","Northern Ireland","Denmark","Denmark","Jan Bartram",11,false,true
"1990-10-17","Northern Ireland","Denmark","Northern Ireland","Colin Clarke",58,false,false
"1990-10-17","Portugal","Netherlands","Portugal","Rui Águas",54,false,false
"1990-10-17","Republic of Ireland","Turkey","Republic of Ireland","John Aldridge",15,false,false
"1990-10-17","Republic of Ireland","Turkey","Republic of Ireland","David O'Leary",40,false,false
"1990-10-17","Republic of Ireland","Turkey","Republic of Ireland","John Aldridge",58,false,false
"1990-10-17","Republic of Ireland","Turkey","Republic of Ireland","Niall Quinn",66,false,false
"1990-10-17","Republic of Ireland","Turkey","Republic of Ireland","John Aldridge",73,false,false
"1990-10-17","Romania","Bulgaria","Bulgaria","Nasko Sirakov",28,false,false
"1990-10-17","Romania","Bulgaria","Bulgaria","Nikolay Todorov",48,false,false
"1990-10-17","Romania","Bulgaria","Bulgaria","Nikolay Todorov",76,false,false
"1990-10-17","Scotland","Switzerland","Scotland","John Robertson",34,false,true
"1990-10-17","Scotland","Switzerland","Scotland","Gary McAllister",53,false,false
"1990-10-17","Scotland","Switzerland","Switzerland","Adrian Knup",65,false,true
"1990-10-17","Wales","Belgium","Belgium","Bruno Versavel",24,false,false
"1990-10-17","Wales","Belgium","Wales","Ian Rush",29,false,false
"1990-10-17","Wales","Belgium","Wales","Dean Saunders",86,false,false
"1990-10-17","Wales","Belgium","Wales","Mark Hughes",88,false,false
"1990-10-31","Greece","Malta","Greece","Nikos Tsiantakis",37,false,false
"1990-10-31","Greece","Malta","Greece","Vassilis Karapialis",40,false,false
"1990-10-31","Greece","Malta","Greece","Dimitris Saravakos",59,false,false
"1990-10-31","Greece","Malta","Greece","Stefanos Borbokis",88,false,false
"1990-10-31","Hungary","Cyprus","Hungary","Emil Lőrincz",1,false,false
"1990-10-31","Hungary","Cyprus","Cyprus","Panayiotis Xiourouppas",13,false,false
"1990-10-31","Hungary","Cyprus","Hungary","Emil Lőrincz",19,false,false
"1990-10-31","Hungary","Cyprus","Hungary","József Kiprich",20,false,true
"1990-10-31","Hungary","Cyprus","Hungary","József Kiprich",67,false,true
"1990-10-31","Hungary","Cyprus","Cyprus","Angelos Tsolakis",89,false,false
"1990-11-14","Bulgaria","Scotland","Scotland","Ally McCoist",9,false,false
"1990-11-14","Bulgaria","Scotland","Bulgaria","Nikolay Todorov",74,false,false
"1990-11-14","Cyprus","Norway","Norway","Gøran Sørloth",39,false,false
"1990-11-14","Cyprus","Norway","Norway","Lars Bohinen",50,false,false
"1990-11-14","Cyprus","Norway","Norway","Sverre Brandhaug",64,false,false
"1990-11-14","Luxembourg","Wales","Wales","Ian Rush",15,false,false
"1990-11-14","Republic of Ireland","England","England","David Platt",67,false,false
"1990-11-14","Republic of Ireland","England","Republic of Ireland","Tony Cascarino",79,false,false
"1990-11-14","San Marino","Switzerland","Switzerland","Alain Sutter",7,false,false
"1990-11-14","San Marino","Switzerland","Switzerland","Stéphane Chapuisat",27,false,false
"1990-11-14","San Marino","Switzerland","Switzerland","Adrian Knup",43,false,false
"1990-11-14","San Marino","Switzerland","Switzerland","Frédéric Chassot",87,false,false
"1990-11-14","Turkey","Poland","Poland","Dariusz Dziekanowski",37,false,false
"1990-11-17","Albania","France","France","Basile Boli",25,false,false
"1990-11-21","Netherlands","Greece","Netherlands","Dennis Bergkamp",7,false,false
"1990-11-21","Netherlands","Greece","Netherlands","Marco van Basten",18,false,false
"1990-11-25","Malta","Finland","Malta","Hubert Suda",37,false,false
"1990-11-25","Malta","Finland","Finland","Erik Holmgren",87,false,false
"1990-12-05","Romania","San Marino","Romania","Ioan Sabău",2,false,false
"1990-12-05","Romania","San Marino","Romania","Dorin Mateuț",18,false,false
"1990-12-05","Romania","San Marino","Romania","Florin Răducioiu",43,false,false
"1990-12-05","Romania","San Marino","Romania","Ioan Lupescu",56,false,false
"1990-12-05","Romania","San Marino","Romania","Pavel Badea",77,false,false
"1990-12-05","Romania","San Marino","Romania","Dan Petrescu",85,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Marco van Basten",9,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Marco van Basten",20,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Marco van Basten",23,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Aron Winter",53,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Dennis Bergkamp",60,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Marco van Basten",64,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Dennis Bergkamp",66,false,false
"1990-12-19","Malta","Netherlands","Netherlands","Marco van Basten",80,false,true
"1990-12-19","Spain","Albania","Spain","Guillermo Amor",21,false,false
"1990-12-19","Spain","Albania","Spain","Carlos Muñoz Cobo",24,false,false
"1990-12-19","Spain","Albania","Spain","Emilio Butragueño",31,false,false
"1990-12-19","Spain","Albania","Spain","Fernando Hierro",40,false,false
"1990-12-19","Spain","Albania","Spain","Emilio Butragueño",57,false,false
"1990-12-19","Spain","Albania","Spain","Carlos Muñoz Cobo",65,false,false
"1990-12-19","Spain","Albania","Spain","Emilio Butragueño",68,false,false
"1990-12-19","Spain","Albania","Spain","José Mari Bakero",76,false,false
"1990-12-19","Spain","Albania","Spain","Emilio Butragueño",88,false,false
"1990-12-22","Cyprus","Italy","Italy","Pietro Vierchowod",15,false,false
"1990-12-22","Cyprus","Italy","Italy","Aldo Serena",22,false,false
"1990-12-22","Cyprus","Italy","Italy","Attilio Lombardo",44,false,false
"1990-12-22","Cyprus","Italy","Italy","Aldo Serena",50,false,false
"1991-01-23","Greece","Portugal","Greece","Stefanos Borbokis",7,false,false
"1991-01-23","Greece","Portugal","Portugal","Rui Águas",18,false,false
"1991-01-23","Greece","Portugal","Portugal","Paulo Futre",62,false,false
"1991-01-23","Greece","Portugal","Greece","Stelios Manolas",68,false,false
"1991-01-23","Greece","Portugal","Greece","Panagiotis Tsalouchidis",85,false,false
"1991-02-09","Malta","Portugal","Portugal","Paulo Futre",27,false,false
"1991-02-20","France","Spain","Spain","José Mari Bakero",10,false,false
"1991-02-20","France","Spain","France","Franck Sauzée",14,false,false
"1991-02-20","France","Spain","France","Jean-Pierre Papin",58,false,false
"1991-02-20","France","Spain","France","Laurent Blanc",76,false,false
"1991-02-20","Portugal","Malta","Portugal","Rui Águas",5,false,false
"1991-02-20","Portugal","Malta","Portugal","José Leal",34,false,false
"1991-02-20","Portugal","Malta","Portugal","Vítor Paneira",41,false,true
"1991-02-20","Portugal","Malta","Portugal","Charles Scerri",48,true,false
"1991-02-20","Portugal","Malta","Portugal","Jorge Cadete",81,false,false
"1991-02-27","Belgium","Luxembourg","Belgium","Erwin Vandenbergh",7,false,false
"1991-02-27","Belgium","Luxembourg","Belgium","Jan Ceulemans",16,false,false
"1991-02-27","Belgium","Luxembourg","Belgium","Enzo Scifo",35,false,false
"1991-03-13","Netherlands","Malta","Netherlands","Marco van Basten",31,false,true
"1991-03-27","Belgium","Wales","Belgium","Marc Degryse",48,false,false
"1991-03-27","Belgium","Wales","Wales","Dean Saunders",60,false,false
"1991-03-27","England","Republic of Ireland","England","Lee Dixon",9,false,false
"1991-03-27","England","Republic of Ireland","Republic of Ireland","Niall Quinn",29,false,false
"1991-03-27","San Marino","Romania","Romania","Gheorghe Hagi",18,false,true
"1991-03-27","San Marino","Romania","San Marino","Valdes Pasolini",30,false,true
"1991-03-27","San Marino","Romania","Romania","Florin Răducioiu",46,false,false
"1991-03-27","San Marino","Romania","Romania","Ivan Matteoni",83,true,false
"1991-03-27","Scotland","Bulgaria","Scotland","John Collins",83,false,false
"1991-03-27","Scotland","Bulgaria","Bulgaria","Emil Kostadinov",89,false,false
"1991-03-30","France","Albania","France","Franck Sauzée",1,false,false
"1991-03-30","France","Albania","France","Franck Sauzée",9,false,false
"1991-03-30","France","Albania","France","Jean-Pierre Papin",33,false,true
"1991-03-30","France","Albania","France","Jean-Pierre Papin",42,false,false
"1991-03-30","France","Albania","France","Hysen Zmijani",81,true,false
"1991-04-03","Cyprus","Hungary","Hungary","József Szalma",15,false,false
"1991-04-03","Cyprus","Hungary","Hungary","József Kiprich",40,false,false
"1991-04-17","Netherlands","Finland","Netherlands","Marco van Basten",9,false,false
"1991-04-17","Netherlands","Finland","Netherlands","Ruud Gullit",76,false,false
"1991-04-17","Poland","Turkey","Poland","Ryszard Tarasiewicz",72,false,false
"1991-04-17","Poland","Turkey","Poland","Ryszard Tarasiewicz",80,false,false
"1991-04-17","Poland","Turkey","Poland","Roman Kosecki",87,false,false
"1991-05-01","Bulgaria","Switzerland","Bulgaria","Emil Kostadinov",12,false,false
"1991-05-01","Bulgaria","Switzerland","Bulgaria","Nasko Sirakov",27,false,false
"1991-05-01","Bulgaria","Switzerland","Switzerland","Adrian Knup",59,false,false
"1991-05-01","Bulgaria","Switzerland","Switzerland","Adrian Knup",85,false,false
"1991-05-01","Bulgaria","Switzerland","Switzerland","Kubilay Türkyilmaz",90,false,false
"1991-05-01","Italy","Hungary","Italy","Roberto Donadoni",4,false,false
"1991-05-01","Italy","Hungary","Italy","Roberto Donadoni",16,false,false
"1991-05-01","Italy","Hungary","Italy","Gianluca Vialli",56,false,false
"1991-05-01","Italy","Hungary","Hungary","György Bognár",65,false,true
"1991-05-01","Northern Ireland","Faroe Islands","Northern Ireland","Colin Clarke",45,false,false
"1991-05-01","Northern Ireland","Faroe Islands","Faroe Islands","Kári Reynheim",63,false,false
"1991-05-01","Norway","Cyprus","Norway","Pål Lydersen",49,false,true
"1991-05-01","Norway","Cyprus","Norway","Tore André Dahlum",65,false,false
"1991-05-01","Norway","Cyprus","Norway","Gøran Sørloth",90,false,false
"1991-05-01","San Marino","Scotland","Scotland","Gordon Strachan",63,false,true
"1991-05-01","San Marino","Scotland","Scotland","Gordon Durie",67,false,false
"1991-05-01","Turkey","England","England","Dennis Wise",32,false,false
"1991-05-16","Finland","Malta","Finland","Petri Järvinen",51,false,false
"1991-05-16","Finland","Malta","Finland","Jari Litmanen",87,false,false
"1991-05-22","Austria","Faroe Islands","Austria","Heimo Pfeifenberger",13,false,false
"1991-05-22","Austria","Faroe Islands","Austria","Michael Streiter",48,false,false
"1991-05-22","Austria","Faroe Islands","Austria","Arnold Wetl",69,false,false
"1991-05-22","San Marino","Bulgaria","Bulgaria","Trifon Ivanov",13,false,false
"1991-05-22","San Marino","Bulgaria","Bulgaria","Nasko Sirakov",20,false,false
"1991-05-22","San Marino","Bulgaria","Bulgaria","Lyuboslav Penev",70,false,false
"1991-05-26","Albania","Iceland","Albania","Eduard Abazi",65,false,false
"1991-06-05","Denmark","Austria","Denmark","Bent Christensen Arensøe",2,false,false
"1991-06-05","Denmark","Austria","Denmark","Bent Christensen Arensøe",33,false,false
"1991-06-05","Denmark","Austria","Austria","Ernst Ogris",83,false,false
"1991-06-05","Finland","Netherlands","Netherlands","Frank de Boer",60,false,false
"1991-06-05","Finland","Netherlands","Finland","Erik Holmgren",77,false,false
"1991-06-05","Norway","Italy","Norway","Tore André Dahlum",4,false,false
"1991-06-05","Norway","Italy","Norway","Lars Bohinen",25,false,false
"1991-06-05","Norway","Italy","Italy","Salvatore Schillaci",77,false,false
"1991-06-05","Switzerland","San Marino","Switzerland","Adrian Knup",3,false,false
"1991-06-05","Switzerland","San Marino","Switzerland","Marc Hottiger",13,false,false
"1991-06-05","Switzerland","San Marino","Switzerland","Alain Sutter",29,false,false
"1991-06-05","Switzerland","San Marino","Switzerland","Heinz Hermann",55,false,false
"1991-06-05","Switzerland","San Marino","Switzerland","Christophe Ohrel",78,false,false
"1991-06-05","Switzerland","San Marino","Switzerland","Adrian Knup",87,false,false
"1991-06-05","Switzerland","San Marino","Switzerland","Kubilay Türkyilmaz",90,false,false
"1991-09-11","Faroe Islands","Northern Ireland","Northern Ireland","Kevin Wilson",8,false,false
