"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","winning_team","draw"
"1970-01-04","Malta","Luxembourg",1,1,"Friendly","Gżira","Malta",false,"draw",1
"1970-01-14","England","Netherlands",0,0,"Friendly","London","England",false,"draw",1
"1970-02-21","Spain","Italy",2,2,"Friendly","Madrid","Spain",false,"draw",1
"1970-02-25","Belgium","England",1,3,"Friendly","Brussels","Belgium",false,"England",0
"1970-04-08","France","Bulgaria",1,1,"Friendly","Rouen","France",false,"draw",1
"1970-04-18","Northern Ireland","Scotland",0,1,"British Home Championship","Belfast","Northern Ireland",false,"Scotland",0
"1970-04-18","Wales","England",1,1,"British Home Championship","Cardiff","Wales",false,"draw",1
"1970-04-21","England","Northern Ireland",3,1,"British Home Championship","London","England",false,"England",0
"1970-04-22","Scotland","Wales",0,0,"British Home Championship","Glasgow","Scotland",false,"draw",1
"1970-04-22","Switzerland","Spain",0,1,"Friendly","Lausanne","Switzerland",false,"Spain",0
"1970-04-25","Scotland","England",0,0,"British Home Championship","Glasgow","Scotland",false,"draw",1
"1970-04-25","Wales","Northern Ireland",1,0,"British Home Championship","Swansea","Wales",false,"Wales",0
"1970-04-28","France","Romania",2,0,"Friendly","Reims","France",false,"France",0
"1970-05-02","Hungary","Poland",2,0,"Friendly","Budapest","Hungary",false,"Hungary",0
"1970-05-03","Switzerland","France",2,1,"Friendly","Basel","Switzerland",false,"Switzerland",0
"1970-05-06","Poland","Republic of Ireland",2,1,"Friendly","Poznań","Poland",false,"Poland",0
"1970-05-10","Portugal","Italy",1,2,"Friendly","Oeiras","Portugal",false,"Italy",0
"1970-05-16","Hungary","Sweden",1,2,"Friendly","Budapest","Hungary",false,"Sweden",0
"1970-05-19","Denmark","Poland",0,2,"Friendly","Copenhagen","Denmark",false,"Poland",0
"1970-06-02","England","Romania",1,0,"FIFA World Cup","Guadalajara","Mexico",true,"England",0
"1970-06-03","Finland","Denmark",1,1,"Nordic Championship","Helsinki","Finland",false,"draw",1
"1970-06-03","Italy","Sweden",1,0,"FIFA World Cup","Toluca","Mexico",true,"Italy",0
"1970-06-17","Norway","Finland",2,0,"Nordic Championship","Bergen","Norway",false,"Norway",0
"1970-06-25","Sweden","Denmark",1,1,"Nordic Championship","Gothenburg","Sweden",false,"draw",1
"1970-07-07","Iceland","Denmark",0,0,"Friendly","Reykjavík","Iceland",false,"draw",1
"1970-07-20","Iceland","Norway",2,0,"Friendly","Reykjavík","Iceland",false,"Iceland",0
"1970-08-26","Finland","Sweden",1,2,"Nordic Championship","Helsinki","Finland",false,"Sweden",0
"1970-09-02","Poland","Denmark",5,0,"Friendly","Warsaw","Poland",false,"Poland",0
"1970-09-23","Denmark","Norway",0,1,"Nordic Championship","Copenhagen","Denmark",false,"Norway",0
"1970-09-23","Republic of Ireland","Poland",0,2,"Friendly","Dublin","Republic of Ireland",false,"Poland",0
"1970-09-27","Hungary","Austria",1,1,"Friendly","Budapest","Hungary",false,"draw",1
"1970-10-07","Austria","France",1,0,"Friendly","Vienna","Austria",false,"Austria",0
"1970-10-07","Norway","Hungary",1,3,"UEFA Euro qualification","Oslo","Norway",false,"Hungary",0
"1970-10-11","Malta","Greece",1,1,"UEFA Euro qualification","Gżira","Malta",false,"draw",1
"1970-10-11","Romania","Finland",3,0,"UEFA Euro qualification","Bucharest","Romania",false,"Romania",0
"1970-10-14","Denmark","Portugal",0,1,"UEFA Euro qualification","Copenhagen","Denmark",false,"Portugal",0
"1970-10-14","Republic of Ireland","Sweden",1,1,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"draw",1
"1970-10-14","Poland","Albania",3,0,"UEFA Euro qualification","Chorzów","Poland",false,"Poland",0
"1970-10-17","Switzerland","Italy",1,1,"Friendly","Berne","Switzerland",false,"draw",1
"1970-10-28","Spain","Greece",2,1,"Friendly","Zaragoza","Spain",false,"Spain",0
"1970-10-28","Sweden","Republic of Ireland",1,0,"UEFA Euro qualification","Solna","Sweden",false,"Sweden",0
"1970-10-31","Austria","Italy",1,2,"UEFA Euro qualification","Vienna","Austria",false,"Italy",0
"1970-11-11","France","Norway",3,1,"UEFA Euro qualification","Lyon","France",false,"France",0
"1970-11-11","Scotland","Denmark",1,0,"UEFA Euro qualification","Glasgow","Scotland",false,"Scotland",0
"1970-11-11","Spain","Northern Ireland",3,0,"UEFA Euro qualification","Seville","Spain",false,"Spain",0
"1970-11-11","Wales","Romania",0,0,"UEFA Euro qualification","Cardiff","Wales",false,"draw",1
"1970-11-15","Belgium","France",1,2,"Friendly","Brussels","Belgium",false,"France",0
"1970-11-15","Bulgaria","Norway",1,1,"UEFA Euro qualification","Sofia","Bulgaria",false,"draw",1
"1970-11-15","Switzerland","Hungary",0,1,"Friendly","Basel","Switzerland",false,"Hungary",0
"1970-11-25","Belgium","Denmark",2,0,"UEFA Euro qualification","Bruges","Belgium",false,"Belgium",0
"1970-12-02","Netherlands","Romania",2,0,"Friendly","Amsterdam","Netherlands",false,"Netherlands",0
"1970-12-08","Italy","Republic of Ireland",3,0,"UEFA Euro qualification","Florence","Italy",false,"Italy",0
"1970-12-09","Greece","Cyprus",1,1,"Friendly","Piraeus","Greece",false,"draw",1
"1970-12-13","Turkey","Albania",2,1,"UEFA Euro qualification","Istanbul","Turkey",false,"Turkey",0
"1970-12-16","Greece","Switzerland",0,1,"UEFA Euro qualification","Piraeus","Greece",false,"Switzerland",0
"1970-12-20","Malta","Switzerland",1,2,"UEFA Euro qualification","Gżira","Malta",false,"Switzerland",0
"1971-02-03","Belgium","Scotland",3,0,"UEFA Euro qualification","Liège","Belgium",false,"Belgium",0
"1971-02-03","Cyprus","Northern Ireland",0,3,"UEFA Euro qualification","Nicosia","Cyprus",false,"Northern Ireland",0
"1971-02-03","Malta","England",0,1,"UEFA Euro qualification","Gżira","Malta",false,"England",0
"1971-02-17","Belgium","Portugal",3,0,"UEFA Euro qualification","Brussels","Belgium",false,"Belgium",0
"1971-02-20","Italy","Spain",1,2,"Friendly","Cagliari","Italy",false,"Spain",0
"1971-02-24","Netherlands","Luxembourg",6,0,"UEFA Euro qualification","Rotterdam","Netherlands",false,"Netherlands",0
"1971-03-17","Spain","France",2,2,"Friendly","Valencia","Spain",false,"draw",1
"1971-04-04","Austria","Hungary",0,2,"Friendly","Vienna","Austria",false,"Hungary",0
"1971-04-07","Greece","Bulgaria",0,1,"Friendly","Piraeus","Greece",false,"Bulgaria",0
"1971-04-21","England","Greece",3,0,"UEFA Euro qualification","London","England",false,"England",0
"1971-04-21","Northern Ireland","Cyprus",5,0,"UEFA Euro qualification","Belfast","Northern Ireland",false,"Northern Ireland",0
"1971-04-21","Portugal","Scotland",2,0,"UEFA Euro qualification","Lisbon","Portugal",false,"Portugal",0
"1971-04-21","Switzerland","Malta",5,0,"UEFA Euro qualification","Lucerne","Switzerland",false,"Switzerland",0
"1971-04-24","Hungary","France",1,1,"UEFA Euro qualification","Budapest","Hungary",false,"draw",1
"1971-05-05","Switzerland","Poland",2,4,"Friendly","Lausanne","Switzerland",false,"Poland",0
"1971-05-09","Cyprus","Spain",0,2,"UEFA Euro qualification","Nicosia","Cyprus",false,"Spain",0
"1971-05-10","Republic of Ireland","Italy",1,2,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"Italy",0
"1971-05-12","Albania","Poland",1,1,"UEFA Euro qualification","Tirana","Albania",false,"draw",1
"1971-05-12","England","Malta",5,0,"UEFA Euro qualification","London","England",false,"England",0
"1971-05-12","Portugal","Denmark",5,0,"UEFA Euro qualification","Porto","Portugal",false,"Portugal",0
"1971-05-12","Switzerland","Greece",1,0,"UEFA Euro qualification","Berne","Switzerland",false,"Switzerland",0
"1971-05-15","Northern Ireland","England",0,1,"British Home Championship","Belfast","Northern Ireland",false,"England",0
"1971-05-15","Wales","Scotland",0,0,"British Home Championship","Cardiff","Wales",false,"draw",1
"1971-05-18","Scotland","Northern Ireland",0,1,"British Home Championship","Glasgow","Scotland",false,"Northern Ireland",0
"1971-05-19","Bulgaria","Hungary",3,0,"UEFA Euro qualification","Sofia","Bulgaria",false,"Bulgaria",0
